d_amplitudeForeHip d_amplitudeHindHip d_offsetForeHip d_offsetHindHip d_amplitudeForeKnee d_amplitudeHindKnee d_offsetKnee d_kneePhaseLag d_frequency d_duration distance angle stability
0.4 0.4 0.0667 -0.0667 0.8133 0.5467 0.2 0.4 2 15 0.32056 0.930389 495.799 
0.4 0.4 0.0667 -0.0667 0.8133 0.5267 0.2 0.4 2 15 0.481054 0.923275 496.433 
0.4 0.4 0.0667 -0.0667 0.8133 0.5067 0.2 0.4 2 15 0.208047 0.836625 493.355 
0.4 0.4 0.0667 -0.0667 0.8133 0.4867 0.2 0.4 2 10.716 0 0.171273 481.857 
0.4 0.4 0.0667 -0.0667 0.8133 0.4667 0.2 0.4 2 15 0.396442 0.831942 492.761 
0.4 0.4 0.0667 -0.0667 0.8133 0.4467 0.2 0.4 2 14.83 0 0.173072 483.551 
0.4 0.4 0.0667 -0.0667 0.8133 0.4267 0.2 0.4 2 15 0 0.862632 490.183 
0.4 0.4 0.0667 -0.0667 0.8133 0.4067 0.2 0.4 2 15 0 0.879592 490.184 
0.4 0.4 0.0667 -0.0667 0.8133 0.3867 0.2 0.4 2 10.512 0 0.173218 465.759 
0.4 0.4 0.0667 -0.0667 0.8133 0.3667 0.2 0.4 2 15 0.405703 0.904629 495.504 
0.4 0.4 0.0667 -0.0667 0.8133 0.3467 0.2 0.4 2 15 0.475044 0.926034 497.065 
0.4 0.4 0.0667 -0.0667 0.8133 0.3267 0.2 0.4 2 4.37 0 0.173532 463.998 
0.4 0.4 0.0667 -0.0667 0.8133 0.3067 0.2 0.4 2 15 0 0.906955 493.767 
0.4 0.4 0.0667 -0.0667 0.8133 0.2867 0.2 0.4 2 3.714 0.0216868 0.172789 463.058 
0.4 0.4 0.0667 -0.0667 0.8133 0.2667 0.2 0.4 2 15 0 0.921584 494.83 
0.4 0.4 0.0667 -0.0667 0.8133 0.2467 0.2 0.4 2 15 0 0.80244 489.634 
0.4 0.4 0.0667 -0.0667 0.8133 0.2267 0.2 0.4 2 15 0 0.911919 491.245 
0.4 0.4 0.0667 -0.0667 0.8133 0.2067 0.2 0.4 2 15 0.147732 0.922647 495.059 
0.4 0.4 0.0667 -0.0667 0.8133 0.1867 0.2 0.4 2 9.544 0.199583 0.169886 486 
0.4 0.4 0.0667 -0.0667 0.8133 0.1667 0.2 0.4 2 15 0.806159 0.904503 495.98 
0.4 0.4 0.0667 -0.0667 0.7933 0.5467 0.2 0.4 2 15 0.497058 0.842248 494.784 
0.4 0.4 0.0667 -0.0667 0.7933 0.5267 0.2 0.4 2 15 0.172464 0.86904 493.522 
0.4 0.4 0.0667 -0.0667 0.7933 0.5067 0.2 0.4 2 15 0 0.91725 493.036 
0.4 0.4 0.0667 -0.0667 0.7933 0.4867 0.2 0.4 2 4.262 0 0.173014 462.225 
0.4 0.4 0.0667 -0.0667 0.7933 0.4667 0.2 0.4 2 15 0.549689 0.874012 495.437 
0.4 0.4 0.0667 -0.0667 0.7933 0.4467 0.2 0.4 2 15 0.617369 0.921144 497.246 
0.4 0.4 0.0667 -0.0667 0.7933 0.4267 0.2 0.4 2 10.826 0.0763428 0.170839 482.018 
0.4 0.4 0.0667 -0.0667 0.7933 0.4067 0.2 0.4 2 15 0 0.825569 490.129 
0.4 0.4 0.0667 -0.0667 0.7933 0.3867 0.2 0.4 2 15 0.483075 0.823255 495.373 
0.4 0.4 0.0667 -0.0667 0.7933 0.3667 0.2 0.4 2 15 0 0.918244 492.755 
0.4 0.4 0.0667 -0.0667 0.7933 0.3467 0.2 0.4 2 2.744 0.11329 0.169829 445.139 
0.4 0.4 0.0667 -0.0667 0.7933 0.3267 0.2 0.4 2 2.34 0.0256816 0.172211 411.883 
0.4 0.4 0.0667 -0.0667 0.7933 0.3067 0.2 0.4 2 1.528 0.0277178 0.172146 446.648 
0.4 0.4 0.0667 -0.0667 0.7933 0.2867 0.2 0.4 2 6.552 0.0156903 0.170834 481.121 
0.4 0.4 0.0667 -0.0667 0.7933 0.2667 0.2 0.4 2 11.488 0 0.166251 485.359 
0.4 0.4 0.0667 -0.0667 0.7933 0.2467 0.2 0.4 2 15 0 0.199515 418.033 
